city,language,variant_count,urls,avg_place_overlap_pct,avg_theme_overlap_pct,judgment
파리,ko,4,"/destinations/%ED%94%84%EB%9E%91%EC%8A%A4/%ED%8C%8C%EB%A6%AC/paris-friends-3days (friends-3d, views=210) | /destinations/%ED%94%84%EB%9E%91%EC%8A%A4/%ED%8C%8C%EB%A6%AC/paris-solo-3days (solo-3d, views=297) | /destinations/%ED%94%84%EB%9E%91%EC%8A%A4/%ED%8C%8C%EB%A6%AC/paris-couple-3days (couple-3d, views=100) | /destinations/%ED%94%84%EB%9E%91%EC%8A%A4/%ED%8C%8C%EB%A6%AC/paris-family-4days (family-4d, views=167)",13.8,8.3,차별화충분
나트랑,ko,3,"/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%82%98%ED%8A%B8%EB%9E%91/nha-trang-friends-3days (friends-3d, views=80) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%82%98%ED%8A%B8%EB%9E%91/nha-trang-solo-2days (solo-2d, views=93) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%82%98%ED%8A%B8%EB%9E%91/nha-trang-couple-3days (couple-3d, views=35)",12.1,0.0,차별화충분
하노이,ko,3,"/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%95%98%EB%85%B8%EC%9D%B4/hanoi-couple-3days (couple-3d, views=77) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%95%98%EB%85%B8%EC%9D%B4/hanoi-friends-3days (friends-3d, views=48) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%95%98%EB%85%B8%EC%9D%B4/hanoi-solo-2days (solo-2d, views=38)",33.6,6.7,차별화충분
시드니,ko,3,"/destinations/%ED%98%B8%EC%A3%BC/%EC%8B%9C%EB%93%9C%EB%8B%88/sydney-friends-4days (friends-4d, views=83) | /destinations/%ED%98%B8%EC%A3%BC/%EC%8B%9C%EB%93%9C%EB%8B%88/sydney-solo-3days (solo-3d, views=116) | /destinations/%ED%98%B8%EC%A3%BC/%EC%8B%9C%EB%93%9C%EB%8B%88/sydney-couple-4days (couple-4d, views=49)",3.3,0.0,차별화충분
보라카이,ko,3,"/destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%B3%B4%EB%9D%BC%EC%B9%B4%EC%9D%B4/boracay-friends-3days (friends-3d, views=52) | /destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%B3%B4%EB%9D%BC%EC%B9%B4%EC%9D%B4/boracay-couple-3days (couple-3d, views=44) | /destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%B3%B4%EB%9D%BC%EC%B9%B4%EC%9D%B4/boracay-solo-2days (solo-2d, views=54)",3.0,0.0,차별화충분
멜버른,ko,3,"/destinations/%ED%98%B8%EC%A3%BC/%EB%A9%9C%EB%B2%84%EB%A5%B8/melbourne-couple-4days (couple-4d, views=65) | /destinations/%ED%98%B8%EC%A3%BC/%EB%A9%9C%EB%B2%84%EB%A5%B8/melbourne-solo-3days (solo-3d, views=60) | /destinations/%ED%98%B8%EC%A3%BC/%EB%A9%9C%EB%B2%84%EB%A5%B8/melbourne-friends-4days (friends-4d, views=72)",12.9,4.8,차별화충분
싱가포르,ko,4,"/destinations/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/singapore-solo-3days (solo-3d, views=208) | /destinations/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/singapore-couple-3days (couple-3d, views=66) | /destinations/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/singapore-family-4days (family-4d, views=50) | /destinations/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4/singapore-friends-3days (friends-3d, views=42)",32.0,5.6,차별화충분
바르셀로나,ko,4,"/destinations/%EC%8A%A4%ED%8E%98%EC%9D%B8/%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98/barcelona-couple-3days (couple-3d, views=45) | /destinations/%EC%8A%A4%ED%8E%98%EC%9D%B8/%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98/barcelona-solo-3days (solo-3d, views=61) | /destinations/%EC%8A%A4%ED%8E%98%EC%9D%B8/%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98/barcelona-friends-3days (friends-3d, views=61) | /destinations/%EC%8A%A4%ED%8E%98%EC%9D%B8/%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98/barcelona-family-4days (family-4d, views=44)",38.2,3.3,차별화충분
나고야,ko,3,"/destinations/%EC%9D%BC%EB%B3%B8/%EB%82%98%EA%B3%A0%EC%95%BC/nagoya-friends-3days (friends-3d, views=37) | /destinations/%EC%9D%BC%EB%B3%B8/%EB%82%98%EA%B3%A0%EC%95%BC/nagoya-couple-3days (couple-3d, views=51) | /destinations/%EC%9D%BC%EB%B3%B8/%EB%82%98%EA%B3%A0%EC%95%BC/nagoya-solo-2days (solo-2d, views=85)",16.9,0.0,차별화충분
도쿄,ko,4,"/destinations/%EC%9D%BC%EB%B3%B8/%EB%8F%84%EC%BF%84/tokyo-friends-3days (friends-3d, views=79) | /destinations/%EC%9D%BC%EB%B3%B8/%EB%8F%84%EC%BF%84/tokyo-solo-3days (solo-3d, views=196) | /destinations/%EC%9D%BC%EB%B3%B8/%EB%8F%84%EC%BF%84/tokyo-couple-3days (couple-3d, views=259) | /destinations/%EC%9D%BC%EB%B3%B8/%EB%8F%84%EC%BF%84/tokyo-family-4days (family-4d, views=64)",15.8,15.8,차별화충분
